一	4e00.a
癇	7592.a,9592.j
癈	7592.a,767c.j
癌	7592.a,5d52.j
癍	7592.a,6591.j
癒	7592.a,6108.j
癔	7592.a,610f.j
癖	7592.a,8f9f.j
癗	7592.a,96f7.j
癘	7592.a,842c.j
癜	7592.a,6bbf.j
癞	7592.a,8d56.j
癡	7592.a,7591.j
癢	7592.a,990a.j
癣	7592.a,9c9c.j
癧	7592.a,6b77.j
癨	7592.a,970d.j
癩	7592.a,8cf4.j
癪	7592.a,7a4d.j
癫	7592.a,98a0.j
癬	7592.a,9bae.j
癯	7592.a,77bf.j
癰	7592.a,96dd.j
癲	7592.a,985b.j
癶	2ff0.2ff4.31c7.4e36.2ffa.4e40.3002a.b,2ff0.2ff4.31c7.4e36.2ffa.4e40.3002a.c
癸	7676.d,5929.e
発	7676.d,2ff1.4e002232c.e#
登	7676.d,8c46.e
發	7676.d,2d6a7.e
白	4e3f.d,65e5.e
百	4e06.d,65e5.e
癿	767d.b,4e5a.c
皀	767d.d,5315.e
皂	767d.d,4e03.e
皃	767d.d,513f.e
的	767d.b,52fa.c
皆	6bd4.d,767d.e
皇	767d.d,738b.e
皈	767d.b,53cd.c
皋	767d.d,5932.e
皎	767d.b,4ea4.c
皐	767d.d,20982.e
皑	767d.b,5c82.c
皓	767d.b,544a.c
皕	767e.b,767e.c
皖	767d.b,5b8c.c
皙	6790.d,767d.e
皚	767d.b,8c48.c
皛	767d.d,3fdf.e
皞	767d.b,768b.c
皤	767d.b,756a.c
皦	767d.b,656b.c
皭	767d.b,7235.c
皮	2ff8.2ffb.4e28.23.28.2d.4e5b.4e3f.29.53c8.a,53c8.j
皰	76ae.b,5305.c
皱	520d.b,76ae.c
皲	519b.b,76ae.c
皴	590b.b,76ae.c
皷	58f4.b,76ae.c
皸	8ecd.b,76ae.c
皹	76ae.b,8ecd.c
皺	82bb.b,76ae.c
皿	2626b.d,4e00.e
盂	4e8e.d,76bf.e
盃	4e0d.d,76bf.e
盅	4e2d.d,76bf.e
盆	5206.d,76bf.e
盈	5903.d,76bf.e
盉	79be.d,76bf.e
益	4491.d,2ff1.516b76bf.e#
盍	53bb.d,76bf.e
盎	592e.d,76bf.e
盏	620b.d,76bf.e
盐	5724.d,76bf.e
监	30022.d,76bf.e
盒	5408.d,76bf.e
盔	7070.d,76bf.e
盖	2634c.d,76bf.e
盗	6b21.d,76bf.e
盘	821f.d,76bf.e
盛	6210.d,76bf.e
盜	3cc4.d,76bf.e
盞	6214.d,76bf.e
盟	660e.d,76bf.e
盡	2dd18.d,76bf.e
監	2ff1.2ff0.81e3.2ff1.20089.4e36.76bf.d,76bf.e
盤	822c.d,76bf.e
盥	2ff1.2ff4.26951.6c34.76bf.d,76bf.e
盦	9153.d,76bf.e
盧	864d.a,30937.j
盪	6e6f.d,76bf.e
目	56d7.a,4e8c.f
盯	76ee.b,4e01.c
盱	76ee.b,4e8e.c
盲	4ea1.d,76ee.e
直	5341.d,2ff1.5341.2ff4.20003.4e09.e
盷	76ee.b,5300.c
相	6728.b,76ee.c
盹	76ee.b,5c6f.c
盻	76ee.b,516e.c
盼	76ee.b,5206.c
盾	20086.a,250ed.j
省	5c0f.d,81ea.e
眄	76ee.b,4e0f.c
眇	76ee.b,5c11.c
眈	76ee.b,5198.c
眉	200dc.a,76ee.j
眊	76ee.b,6bdb.c
看	9fb5.a,76ee.j
県	2ff1.2ffa.200ca.76ee.5c0f.d,5c0f.e
眍	76ee.b,533a.c
眙	76ee.b,53f0.c
眚	751f.d,76ee.e
眛	76ee.b,672a.c
眞	76f4.d,516b.e
真	76f4.d,516b.e
眠	76ee.b,6c11.c
眢	5917.d,76ee.e
眤	76ee.b,5c3c.c
眥	6b64.d,76ee.e
眦	76ee.b,6b64.c
眨	76ee.b,4e4f.c
眩	76ee.b,7384.c
眬	76ee.b,9f99.c
眭	76ee.b,572d.c
眯	76ee.b,7c73.c
眵	76ee.b,591a.c
眶	76ee.b,5321.c
眷	9fb9.d,76ee.e
眸	76ee.b,725f.c
眺	76ee.b,5146.c
眼	76ee.b,826e.c
着	7f8a.a,76ee.j
睁	76ee.b,4e89.c
睃	76ee.b,590b.c
睄	76ee.b,8096.c
睇	76ee.b,5f1f.c
睎	76ee.b,5e0c.c
睐	76ee.b,6765.c
睑	76ee.b,4f65.c
睚	76ee.b,5393.c
睛	76ee.b,9752.c
睡	76ee.b,5782.c
睢	76ee.b,96b9.c
督	53d4.d,76ee.e
睥	76ee.b,5351.c
睦	76ee.b,5774.c
睨	76ee.b,5152.c
睫	76ee.b,758c.c
睬	76ee.b,91c7.c
睹	76ee.b,8005.c
睽	76ee.b,7678.c
睾	4e3f.d,776a.e
睿	239b5.d,2ff1.516b250e6.e#
瞀	6544.d,76ee.e
瞄	76ee.b,82d7.c
瞅	76ee.b,79cb.c
瞋	76ee.b,771f.c
瞌	76ee.b,76cd.c
瞍	76ee.b,53df.c
瞎	76ee.b,5bb3.c
瞑	76ee.b,51a5.c
瞒	76ee.b,2c72f.c
瞞	76ee.b,34bc.c
瞟	76ee.b,7968.c
瞠	76ee.b,5802.c
瞢	26b5d.d,2ff1.519676ee.e#
瞥	655d.d,76ee.e
瞧	76ee.b,7126.c
瞩	76ee.b,5c5e.c
瞪	76ee.b,767b.c
瞫	76ee.b,8983.c
瞬	76ee.b,821c.c
瞭	76ee.b,5c1e.c
瞰	76ee.b,6562.c
瞳	76ee.b,7ae5.c
瞵	76ee.b,7ca6.c
瞶	76ee.b,8cb4.c
瞹	76ee.b,611b.c
瞻	76ee.b,8a79.c
瞼	76ee.b,50c9.c
瞽	9f13.d,76ee.e
瞿	4020.d,96b9.e
矇	76ee.b,8499.c
矍	77bf.d,53c8.e
矗	76f4.d,2ff1.76f4.2ff0.76f4.76f4.e
矚	76ee.b,5c6c.c
矛	4e88.a,4e3f.k
矜	77db.b,4eca.c
矞	77db.d,518f.e
矢	20089.d,5927.e
矣	53b6.d,77e2.e
知	77e2.b,53e3.c
矧	77e2.b,5f15.c
矩	77e2.b,5de8.c
矫	77e2.b,4e54.c
矬	77e2.b,5750.c
短	77e2.b,8c46.c
矮	77e2.b,59d4.c
矯	77e2.b,55ac.c
矰	77e2.b,66fe.c
石	4e06.a,53e3.j
矶	77f3.b,51e0.c
矸	77f3.b,5e72.c
矻	77f3.b,4e5e.c
矼	77f3.b,5de5.c
矽	77f3.b,5915.c
矾	77f3.b,51e1.c
矿	77f3.b,5e7f.c
砀	77f3.b,200d3.c
码	77f3.b,9a6c.c
砂	77f3.b,5c11.c
砄	77f3.b,592c.c
砆	77f3.b,592b.c
砉	4e30.d,77f3.e
砌	77f3.b,5207.c
砍	77f3.b,6b20.c
砑	77f3.b,7259.c
砒	77f3.b,6bd4.c
研	77f3.b,5f00.c
砕	77f3.b,5346.c
砖	77f3.b,4e13.c
砗	77f3.b,8f66.c
砘	77f3.b,5c6f.c
砚	77f3.b,89c1.c
砜	77f3.b,98ce.c
砝	77f3.b,53bb.c
砟	77f3.b,4e4d.c
砠	77f3.b,4e14.c
砣	77f3.b,5b83.c
砥	77f3.b,6c10.c
砦	6b64.d,77f3.e
砧	77f3.b,5360.c
砩	77f3.b,5f17.c
砫	77f3.b,4e3b.c
砬	77f3.b,7acb.c
砭	77f3.b,4e4f.c
砮	5974.d,77f3.e
砰	77f3.b,5e73.c
砲	77f3.b,5305.c
破	77f3.b,76ae.c
砵	77f3.b,672c.c
砷	77f3.b,7533.c
砸	77f3.b,531d.c
砹	77f3.b,827e.c
砺	77f3.b,5389.c
砻	9f99.d,77f3.e
砼	77f3.b,4edd.c
砾	77f3.b,4e50.c
砿	77f3.b,5e83.c
础	77f3.b,51fa.c
硁	77f3.b,22016.c
硅	77f3.b,572d.c
硇	77f3.b,56df.c
硊	77f3.b,5371.c
硌	77f3.b,5404.c
硍	77f3.b,826e.c
硎	77f3.b,5211.c
硐	77f3.b,540c.c
硒	77f3.b,897f.c
硔	77f3.b,5171.c
硕	77f3.b,9875.c
硖	77f3.b,5939.c
硗	77f3.b,5c27.c
硙	77f3.b,5c82.c
硚	77f3.b,4e54.c
硝	77f3.b,8096.c
硪	77f3.b,6211.c
硫	77f3.b,342c.c
硬	77f3.b,66f4.c
硭	77f3.b,8292.c
确	77f3.b,89d2.c
硯	77f3.b,898b.c
硲	77f3.b,8c37.c
硴	77f3.b,82b1.c
硷	77f3.b,4f65.c
硼	77f3.b,670b.c
硿	77f3.b,7a7a.c
碁	5176.d,77f3.e
碃	77f3.b,9752.c
碆	6ce2.d,77f3.e
碇	77f3.b,5b9a.c
碈	77f3.b,660f.c
碉	77f3.b,5468.c
碌	77f3.b,5f55.c
碍	77f3.b,3775.c
碎	77f3.b,5352.c
碏	77f3.b,6614.c
碑	77f3.b,5351.c
碓	77f3.b,96b9.c
碕	77f3.b,5947.c
碗	77f3.b,5b9b.c
碘	77f3.b,5178.c
碚	77f3.b,5485.c
碛	77f3.b,8d23.c
碜	77f3.b,53c2.c
碟	77f3.b,67bc.c
碡	77f3.b,6bd2.c
碣	77f3.b,66f7.c
碥	77f3.b,6241.c
碧	73c0.d,77f3.e
碨	77f3.b,754f.c
碩	77f3.b,9801.c
碪	77f3.b,751a.c
碯	77f3.b,21ffa.c
碰	77f3.b,4e26.c
碱	77f3.b,54b8.c
碲	77f3.b,5e1d.c
碳	77f3.b,70ad.c
碴	77f3.b,67e5.c
碵	77f3.b,8c9e.c
碶	77f3.b,5951.c
碹	77f3.b,5ba3.c
確	77f3.b,96ba.c
碼	77f3.b,99ac.c
碾	77f3.b,5c55.c
磁	77f3.b,5179.c
磅	77f3.b,65c1.c
磆	77f3.b,9aa8.c
磉	77f3.b,6851.c
磊	77f3.d,7833.e
磋	77f3.b,5dee.c
磏	77f3.b,517c.c
磐	822c.d,77f3.e
磑	77f3.b,8c48.c
磔	77f3.b,6840.c
磕	77f3.b,76cd.c
磙	77f3.b,886e.c
磚	77f3.b,5c08.c
磜	77f3.b,796d.c
磡	77f3.b,52d8.c
磧	77f3.b,8cac.c
磨	9ebb.a,77f3.j
磬	6bb8.d,77f3.e
磯	77f3.b,5e7e.c
磲	77f3.b,6e20.c
磴	77f3.b,767b.c
磷	77f3.b,7ca6.c
磹	77f3.b,8983.c
磺	77f3.b,9ec4.c
磻	77f3.b,756a.c
磽	77f3.b,582f.c
礁	77f3.b,7126.c
礅	77f3.b,6566.c
礇	77f3.b,5965.c
礌	77f3.b,96f7.c
礎	77f3.b,695a.c
礑	77f3.b,7576.c
礒	77f3.b,7fa9.c
礓	77f3.b,757a.c
礙	77f3.b,7591.c
礞	77f3.b,8499.c
礤	77f3.b,8521.c
礦	77f3.b,5ee3.c
礪	77f3.b,53b2.c
礫	77f3.b,6a02.c
礬	6a0a.d,77f3.e
礳	77f3.b,78e8.c
礴	77f3.b,8584.c
礵	77f3.b,971c.c
示	4e8c.d,5c0f.e
礻	2a70a.d,535c.e
礼	793a.b,4e5a.c
社	793a.b,571f.c
祀	793a.b,5df3.c
祁	793a.b,961d.c
祃	793a.b,9a6c.c
祆	793a.b,5929.c
祇	793a.b,6c0f.c
祈	793a.b,65a4.c
祉	793a.b,6b62.c
祊	793a.b,65b9.c
祋	793a.b,6bb3.c
祎	793a.b,97e6.c
祏	793a.b,77f3.c
祐	793a.b,53f3.c
祓	793a.b,72ae.c
祕	793a.b,5fc5.c
祖	793a.b,4e14.c
祗	793a.b,6c10.c
祚	793a.b,4e4d.c
祛	793a.b,53bb.c
祜	793a.b,53e4.c
祝	793a.b,5144.c
神	793a.b,7533.c
祟	51fa.d,793a.e
祠	793a.b,53f8.c
祢	793a.b,5c14.c
祥	793a.b,7f8a.c
祧	793a.b,5146.c
票	8980.d,793a.e
祭	2ff1.2ff0.31f00.9fb4.793a.d,793a.e
祯	793a.b,8d1e.c
祲	793a.b,20b36.c
祷	793a.b,5bff.c
祸	793a.b,5459.c
祺	793a.b,5176.c
祼	793a.b,679c.c
祾	793a.b,590c.c
祿	793a.b,5f55.c
禀	342d.d,793a.e
禁	6797.d,793a.e
禄	793a.b,5f55.c
禅	793a.b,5355.c
禊	793a.b,5951.c
禋	793a.b,5794.c
禍	793a.b,54bc.c
禎	793a.b,8c9e.c
福	793a.b,7550.c
禒	793a.b,5f56.c
禔	793a.b,662f.c
禘	793a.b,5e1d.c
禚	793a.b,7f94.c
禛	793a.b,771f.c
禝	793a.b,755f.c
禤	793a.b,2ff0.793a.2ff1.7f52.7fbd.c
禦	5fa1.d,793a.e
禧	793a.b,559c.c
禪	793a.b,55ae.c
禮	793a.b,8c4a.c
禰	793a.b,723e.c
禳	793a.b,8944.c
禹	2ff5.2ffb.2009d.5182.2ff0.4e00.4e36.a,2ff5.2ffb.2009d.5182.2ff0.4e00.4e36.g
禺	2ff5.2ffb.7532.5182.2ff0.4e00.4e36.a,2ff5.2ffb.7532.5182.2ff0.4e00.4e36.g
离	342b.d,79b8.e
禽	4eba.d,79bb.e
禾	4e3f.d,6728.e
禿	79be.d,513f.e
秀	79be.d,4e43.e
私	79be.b,53b6.c
秃	79be.d,51e0.e
秆	79be.b,5e72.c
秉	4e3f.d,233c3.e
秋	79be.b,706b.c
种	79be.b,4e2d.c
科	79be.b,6597.c
秒	79be.b,5c11.c
秕	79be.b,6bd4.c
秘	79be.b,5fc5.c
租	79be.b,4e14.c
秡	79be.b,72ae.c
秣	79be.b,672b.c
秤	79be.b,5e73.c
秦	215d7.d,79be.e
秧	79be.b,592e.c
秩	79be.b,5931.c
秫	79be.b,672f.c
秬	79be.b,5de8.c
秭	79be.b,20094.c
积	79be.b,53ea.c
称	79be.b,5c14.c
秸	79be.b,5409.c
移	79be.b,591a.c
秽	79be.b,5c81.c
秾	79be.b,519c.c
稀	79be.b,5e0c.c
稂	79be.b,826f.c
稃	79be.b,5b5a.c
稆	79be.b,5415.c
稈	79be.b,65f1.c
程	79be.b,5448.c
稌	79be.b,4f59.c
稍	79be.b,8096.c
税	79be.b,5151.c
稑	79be.b,5774.c
稔	79be.b,5ff5.c
稗	79be.b,5351.c
稘	79be.b,5176.c
稙	79be.b,76f4.c
稚	79be.b,96b9.c
稜	79be.b,590c.c
稞	79be.b,679c.c
稟	342d.d,79be.e
稠	79be.b,5468.c
稣	9c7c.b,79be.c
種	79be.b,91cd.c
稱	79be.b,722f.c
稲	79be.b,2695d.c
稳	79be.b,6025.c
稷	79be.b,755f.c
稹	79be.b,771f.c
稻	79be.b,8200.c
稼	79be.b,5bb6.c
稽	79be.b,2ff0.79be.2ff1.5c24.65e8.c
稾	9ad8.d,79be.e
稿	79be.b,9ad8.c
穀	257a4.b,6bb3.c
穂	79be.b,6075.c
穃	79be.b,5bb9.c
穄	79be.b,796d.c
穆	79be.b,38ce.c
穉	79be.b,7280.c
積	79be.b,8cac.c
穎	9803.a,79be.k
穏	79be.b,226a9.c
穐	79be.b,4e80.c
穑	79be.b,556c.c
穗	79be.b,60e0.c
穙	79be.b,83d0.c
穜	79be.b,7ae5.c
穟	79be.b,9042.c
穡	79be.b,55c7.c
穢	79be.b,6b72.c
穣	79be.b,342e.c
穩	79be.b,396f.c
穫	79be.b,84a6.c
穰	79be.b,8944.c
穴	5b80.d,516b.e
究	7a74.d,4e5d.e
穷	7a74.d,529b.e
穸	7a74.d,5915.e
穹	7a74.d,5f13.e
空	7a74.d,5de5.e
穽	7a74.d,4e95.e
穿	7a74.d,7259.e
窀	7a74.d,5c6f.e
突	7a74.d,72ac.e
窃	7a74.d,5207.e
窄	7a74.d,4e4d.e
窅	7a74.d,76ee.e
窆	7a74.d,4e4f.e
窈	7a74.d,5e7c.e
窊	7a74.d,74dc.e
窍	7a74.d,5de7.e
窎	7a74.d,9e1f.e
窑	7a74.d,7f36.e
窒	7a74.d,81f3.e
窓	7a74.d,3177c.e
窕	7a74.d,5146.e
窖	7a74.d,544a.e
窗	7a74.d,56f1.e
窘	7a74.d,541b.e
窜	7a74.d,4e32.e
窝	7a74.d,5459.e
窟	7a74.d,5c48.e
窠	7a74.d,679c.e
窣	7a74.d,5352.e
窥	7a74.d,89c4.e
窦	7a74.d,5356.e
窨	7a74.d,97f3.e
窩	7a74.d,54bc.e
窪	7a74.d,6d3c.e
窬	7a74.d,4fde.e
窭	7a74.d,5a04.e
窮	7a74.d,8eac.e
窯	7a74.d,7f94.e
窰	7a74.d,4343.e
窳	7a74.d,3f0c.e
窶	7a74.d,5a41.e
窸	7a74.d,6089.e
窺	7a74.d,898f.e
窿	7a74.d,9686.e
竃	2e101.a,65e5.m
竄	7a74.d,9f20.e
竅	7a74.d,656b.e
竇	7a74.d,8ce3.e
竈	25927.d,9efd.e
竊	7a74.d,2ff1.7a74.2ff0.91c6.2ff3.2e8a.2053f.2ff5.5182.53b6.e
立	4ea0.d,4491.e
竍	7acb.b,5341.c
竏	7acb.b,5343.c
竑	7acb.b,53b7.c
竒	4ea0.d,2ff1.4e3753ef.e#
竓	7acb.b,6bdb.c
竕	7acb.b,5206.c
竖	30021.d,7acb.e
竘	7acb.b,53e5.c
站	7acb.b,5360.c
竚	7acb.b,5b81.c
竜	7acb.d,7535.e
竝	7acb.b,7acb.c
竞	7acb.d,5144.e
竟	97f3.d,513f.e
章	7acb.d,65e9.e
竡	7acb.b,767e.c
竢	7acb.b,77e3.c
竣	7acb.b,590b.c
童	7acb.d,91cc.e
竦	7acb.b,675f.c
竪	81e4.d,7acb.e
竫	7acb.b,4e89.c
竭	7acb.b,66f7.c
端	7acb.b,8011.c
竰	7acb.b,5398.c
競	7ade.b,7ade.c
竸	7adf.b,7adf.c
竹	2ff0.2ff1.20089.4e28.4e87.b,4e87.c
竺	25ad7.d,4e8c.e
竽	25ad7.d,4e8e.e
竿	25ad7.d,5e72.e
笂	25ad7.d,4e38.e
笃	25ad7.d,9a6c.e
笄	25ad7.d,5f00.e
笆	25ad7.d,5df4.e
笈	25ad7.d,53ca.e
笊	25ad7.d,722a.e
笋	25ad7.d,5c39.e
笏	25ad7.d,52ff.e
笑	25ad7.d,592d.e
笔	25ad7.d,6bdb.e
笕	25ad7.d,89c1.e
笘	25ad7.d,5360.e
笙	25ad7.d,751f.e
笛	25ad7.d,7531.e
笞	25ad7.d,53f0.e
笠	25ad7.d,7acb.e
笤	25ad7.d,53ec.e
笥	25ad7.d,53f8.e
符	25ad7.d,4ed8.e
笨	25ad7.d,672c.e
笪	25ad7.d,65e6.e
笫	25ad7.d,20094.e
第	25ad7.d,223a8.e
笮	25ad7.d,4e4d.e
笯	25ad7.d,5974.e
笱	25ad7.d,53e5.e
笳	25ad7.d,52a0.e
笵	25ad7.d,6c3e.e
笶	25ad7.d,77e2.e
笸	25ad7.d,53f5.e
笹	25ad7.d,4e16.e
笺	25ad7.d,620b.e
笼	25ad7.d,9f99.e
笾	25ad7.d,8fb9.e
筀	25ad7.d,572d.e
筅	25ad7.d,5148.e
筆	25ad7.d,807f.e
筇	25ad7.d,909b.e
筈	25ad7.d,820c.e
等	25ad7.d,5bfa.e
筋	25ad7.d,808b.e
筌	25ad7.d,5168.e
筍	25ad7.d,65ec.e
筏	25ad7.d,4f10.e
筐	25ad7.d,5321.e
筑	25ad7.d,5de9.e
筒	25ad7.d,540c.e
答	25ad7.d,5408.e
策	25ad7.d,673f.e
筘	25ad7.d,6263.e
筚	25ad7.d,6bd5.e
筛	25ad7.d,5e08.e
筜	25ad7.d,5f53.e
筝	25ad7.d,4e89.e
筠	25ad7.d,5747.e
筢	25ad7.d,628a.e
筤	25ad7.d,826f.e
筥	25ad7.d,5415.e
筦	25ad7.d,5b8c.e
筧	25ad7.d,898b.e
筬	25ad7.d,6210.e
筮	25ad7.d,5deb.e
筰	25ad7.d,4f5c.e
筱	25ad7.d,6538.e
筲	25ad7.d,8096.e
筴	25ad7.d,593e.e
筵	25ad7.d,5ef6.e
筶	25ad7.d,544a.e
筷	25ad7.d,5feb.e
筹	25ad7.d,5bff.e
筺	25ad7.d,5324.e
筻	25ad7.d,66f4.e
筼	25ad7.d,5458.e
签	25ad7.d,4f65.e
简	25ad7.d,95f4.e
箅	25ad7.d,7540.e
箆	25ad7.d,2ff1.2053f6bd4.e#
箇	25ad7.d,56fa.e
箋	25ad7.d,6214.e
箍	25ad7.d,39dc.e
箏	25ad7.d,4e89.e
箐	25ad7.d,9752.e
箒	25ad7.d,5e1a.e
箓	25ad7.d,5f55.e
箔	25ad7.d,6cca.e
箕	25ad7.d,5176.e
箖	25ad7.d,6797.e
算	25ad7.d,250f2.e
箘	25ad7.d,56f7.e
箙	25ad7.d,670d.e
箚	25ad7.d,34e3.e
箜	25ad7.d,7a7a.e
箝	25ad7.d,62d1.e
箟	25ad7.d,6606.e
管	25ad7.d,5b98.e
箢	25ad7.d,5b9b.e
箦	25ad7.d,8d23.e
箧	25ad7.d,2ff1.25ad7.2ff7.531a.5939.e
箨	25ad7.d,62e9.e
箩	25ad7.d,7f57.e
箪	25ad7.d,5355.e
箫	25ad7.d,8083.e
箬	25ad7.d,82e5.e
箭	25ad7.d,524d.e
箱	25ad7.d,76f8.e
箴	25ad7.d,54b8.e
箸	25ad7.d,8005.e
節	25ad7.d,5373.e
篁	25ad7.d,7687.e
範	25ad7.d,282a0.e
篆	25ad7.d,5f56.e
篇	25ad7.d,6241.e
築	7b51.d,6728.e
篋	25ad7.d,5327.e
篌	25ad7.d,4faf.e
篏	25ad7.d,2389f.e
篑	25ad7.d,8d35.e
篓	25ad7.d,5a04.e
篙	25ad7.d,9ad8.e
篚	25ad7.d,532a.e
篝	25ad7.d,5193.e
篠	25ad7.d,689d.e
篡	2e155.d,53b6.e
篤	25ad7.d,99ac.e
篥	25ad7.d,6817.e
篦	25ad7.d,23b09.e
篩	25ad7.d,5e2b.e
篪	25ad7.d,8652.e
篭	25ad7.d,7adc.e
篮	25ad7.d,76d1.e
篯	25ad7.d,94b1.e
篱	25ad7.d,79bb.e
篳	25ad7.d,7562.e
篶	25ad7.d,7109.e
篷	25ad7.d,9022.e
篼	25ad7.d,515c.e
篾	25c61.a,4e00.g
簀	25ad7.d,8cac.e
簃	25ad7.d,79fb.e
簇	25ad7.d,65cf.e
簉	25ad7.d,9020.e
簋	25ad7.d,2df81.e
簌	25ad7.d,6b36.e
簍	25ad7.d,5a41.e
簏	25ad7.d,9e7f.e
簑	25ad7.d,8870.e
簒	2e155.d,4e48.e
簓	25ad7.d,5f6b.e
簔	25ad7.d,2e569.e
簕	25ad7.d,52d2.e
簖	25ad7.d,65ad.e
簗	25ad7.d,6881.e
簝	25ad7.d,5c1e.e
簟	25ad7.d,8983.e
簠	25ad7.d,76d9.e
簡	25ad7.d,9593.e
簣	25ad7.d,8cb4.e
簦	25ad7.d,767b.e
簧	25ad7.d,9ec4.e
簪	25ad7.d,6701.e
簫	25ad7.d,8085.e
簰	25ad7.d,724c.e
簷	25ad7.d,8a79.e
簸	25ad7.d,24ffa.e
簽	25ad7.d,50c9.e
簾	25ad7.d,5ec9.e
簿	25ad7.d,6ea5.e
籀	25ad7.d,3a28.e
籁	25ad7.d,8d56.e
籃	25ad7.d,76e3.e
籌	25ad7.d,58fd.e
籍	25ad7.d,8024.e
籏	25ad7.d,65d7.e
籐	25ad7.d,6ed5.e
籔	25ad7.d,6578.e
籖	25ad7.d,97ef.e
籘	25ad7.d,7e22.e
籟	25ad7.d,8cf4.e
籠	25ad7.d,9f8d.e
籤	25ad7.d,97f1.e
籥	25ad7.d,9fa0.e
籬	25ad7.d,96e2.e
米	2e8c.a,201a3.m
籴	5165.d,7c73.e
籵	7c73.b,5341.c
类	7c73.d,5927.e
籼	7c73.b,5c71.c
籽	7c73.b,5b50.c
籾	7c73.b,5203.c
粁	7c73.b,5343.c
粂	4e45.d,7c73.e
粃	7c73.b,6bd4.c
粉	7c73.b,5206.c
粋	7c73.b,5346.c
粍	7c73.b,6bdb.c
粐	7c73.b,6237.c
粑	7c73.b,5df4.c
粒	7c73.b,7acb.c
粕	7c73.b,767d.c
粗	7c73.b,4e14.c
粘	7c73.b,5360.c
粛	8080.a,2ffb.8080.2ff2.4e3f.2ff1.4491.4eba.4e28.m
粜	51fa.d,7c73.e
粝	7c73.b,5389.c
粞	7c73.b,897f.c
粟	8980.d,7c73.e
粡	7c73.b,540c.c
粢	6b21.d,7c73.e
粤	4e3f.d,2ff1.211d24e02.e#
粥	5f13.b,25e32.c
粧	7c73.b,5e84.c
粨	7c73.b,767e.c
粪	7c73.d,5171.e
粫	7c73.b,800c.c
粭	7c73.b,5408.c
粮	7c73.b,826f.c
粱	3197b.d,7c73.e
粲	239bc.d,7c73.e
粳	7c73.b,66f4.c
粹	7c73.b,5352.c
粼	7ca6.b,5ddc.c
粽	7c73.b,5b97.c
精	7c73.b,9752.c
粿	7c73.b,679c.c
糀	7c73.b,82b1.c
糁	7c73.b,53c2.c
糂	7c73.b,751a.c
糅	7c73.b,67d4.c
糇	7c73.b,4faf.c
糈	7c73.b,80e5.c
糊	7c73.b,80e1.c
糌	7c73.b,661d.c
糍	7c73.b,5179.c
糎	7c73.b,5398.c
糒	7c73.b,24c07.c
糕	7c73.b,7f94.c
糖	7c73.b,5510.c
糗	7c73.b,81ed.c
糘	7c73.b,5bb6.c
糙	7c73.b,9020.c
糜	9ebb.a,7c73.j
糞	7c73.d,7570.e
糟	7c73.b,66f9.c
糠	7c73.b,5eb7.c
糢	7c73.b,83ab.c
糧	7c73.b,91cf.c
糨	7c73.b,5f3a.c
糯	7c73.b,9700.c
糲	7c73.b,53b2.c
糴	7c74.b,7fdf.c
糵	859b.d,7c73.e
糶	7c9c.b,7fdf.c
糸	5e7a.d,5c0f.e
糺	7cf8.b,4e5a.c
系	4e3f.d,7cf8.e
糾	7cf8.b,4e29.c
紀	7cf8.b,5df1.c
紂	7cf8.b,5bf8.c
約	7cf8.b,52fa.c
紅	7cf8.b,5de5.c
紆	7cf8.b,4e8e.c
紊	6587.d,7cf8.e
紋	7cf8.b,6587.c
納	7cf8.b,5185.c
紐	7cf8.b,4e11.c
純	7cf8.b,5c6f.c
紕	7cf8.b,6bd4.c
紗	7cf8.b,5c11.c
紘	7cf8.b,53b7.c
紙	7cf8.b,6c0f.c
級	7cf8.b,53ca.c
紛	7cf8.b,5206.c
紜	7cf8.b,4e91.c
素	9fb6.d,7cf8.e
紡	7cf8.b,65b9.c
索	5341.d,2ff1.51967cf8.e#
紧	30021.d,7cf8.e
紫	6b64.d,7cf8.e
紬	7cf8.b,7531.c
紮	672d.d,7cf8.e
累	7530.d,7cf8.e
細	7cf8.b,7530.c
紲	7cf8.b,4e16.c
紳	7cf8.b,7533.c
紵	7cf8.b,5b81.c
紹	7cf8.b,53ec.c
紺	7cf8.b,7518.c
紿	7cf8.b,53f0.c
終	7cf8.b,51ac.c
絃	7cf8.b,7384.c
組	7cf8.b,4e14.c
絅	7cf8.b,518b.c
絆	7cf8.b,534a.c
絋	7cf8.b,5e83.c
経	7cf8.b,5723.c
絎	7cf8.b,884c.c
絏	7cf8.b,66f3.c
結	7cf8.b,5409.c
絖	7cf8.b,5149.c
絛	6538.a,7cf8.j
絜	34de.d,7cf8.e
絞	7cf8.b,4ea4.c
絡	7cf8.b,5404.c
絢	7cf8.b,65ec.c
絣	7cf8.b,5e76.c
給	7cf8.b,5408.c
絨	7cf8.b,620e.c
絮	5982.d,7cf8.e
統	7cf8.b,5145.c
絲	7cf8.b,7cf8.c
絳	7cf8.b,5905.c
絵	7cf8.b,4f1a.c
絶	7cf8.b,8272.c
絷	6267.d,7cf8.e
絹	7cf8.b,8099.c
絽	7cf8.b,5415.c
綉	7cf8.b,79c0.c
綏	7cf8.b,59a5.c
經	7cf8.b,5de0.c
継	7cf8.b,2ff0.7cf8.2ffa.200ca.7c73.c
続	7cf8.b,58f2.c
綛	7cf8.b,5fcd.c
綜	7cf8.b,5b97.c
